object,reference,position,points
asc,jupiter,6,1
asc,mars,6,1
asc,sun,6,1
asc,venus,6,0
asc,mercury,6,1
asc,moon,6,1
asc,asc,6,1
saturn,saturn,7,0
saturn,jupiter,7,0
saturn,mars,7,0
saturn,sun,7,1
saturn,venus,7,0
saturn,mercury,7,0
saturn,moon,7,0
saturn,asc,7,0
venus,saturn,7,0
venus,jupiter,7,0
venus,mars,7,0
venus,sun,7,0
venus,venus,7,0
venus,mercury,7,0
venus,moon,7,0
venus,asc,7,0
jupiter,saturn,7,0
jupiter,jupiter,7,1
jupiter,mars,7,1
jupiter,sun,7,1
jupiter,venus,7,0
jupiter,mercury,7,0
jupiter,moon,7,1
jupiter,asc,7,1
mercury,saturn,7,1
mercury,jupiter,7,0
mercury,mars,7,1
mercury,sun,7,0
mercury,venus,7,0
mercury,mercury,7,0
mercury,moon,7,0
mercury,asc,7,0
mars,saturn,7,1
mars,jupiter,7,0
mars,mars,7,1
mars,sun,7,0
mars,venus,7,0
mars,mercury,7,0
mars,moon,7,0
mars,asc,7,0
moon,saturn,7,0
moon,jupiter,7,1
moon,mars,7,0
moon,sun,7,1
moon,venus,7,1
moon,mercury,7,1
moon,moon,7,1
moon,asc,7,0
sun,saturn,7,1
sun,jupiter,7,0
sun,mars,7,1
sun,sun,7,1
sun,venus,7,1
sun,mercury,7,0
sun,moon,7,0
sun,asc,7,0
asc,saturn,7,0
asc,jupiter,7,1
asc,mars,7,0
asc,sun,7,0
asc,venus,7,0
asc,mercury,7,0
asc,moon,7,0
asc,asc,7,0
saturn,saturn,8,0
saturn,jupiter,8,0
saturn,mars,8,0
saturn,sun,8,1
saturn,venus,8,0
saturn,mercury,8,1
saturn,moon,8,0
saturn,asc,8,0
venus,saturn,8,1
venus,jupiter,8,1
venus,mars,8,0
venus,sun,8,1
venus,venus,8,1
venus,mercury,8,0
venus,moon,8,1
venus,asc,8,1
jupiter,saturn,8,0
jupiter,jupiter,8,1
jupiter,mars,8,1
jupiter,sun,8,1
jupiter,venus,8,0
jupiter,mercury,8,0
jupiter,moon,8,0
jupiter,asc,8,0
mercury,saturn,8,1
mercury,jupiter,8,1
mercury,mars,8,1
mercury,sun,8,0
mercury,venus,8,1
mercury,mercury,8,0
mercury,moon,8,1
mercury,asc,8,1
mars,saturn,8,1
mars,jupiter,8,0
mars,mars,8,1
mars,sun,8,0
mars,venus,8,1
mars,mercury,8,0
mars,moon,8,0
mars,asc,8,0
moon,saturn,8,0
moon,jupiter,8,1
moon,mars,8,0
moon,sun,8,1
moon,venus,8,0
moon,mercury,8,1
moon,moon,8,0
moon,asc,8,0
sun,saturn,8,1
sun,jupiter,8,0
sun,mars,8,1
sun,sun,8,1
sun,venus,8,0
sun,mercury,8,0
sun,moon,8,0
sun,asc,8,0
asc,saturn,8,0
asc,jupiter,8,0
asc,mars,8,0
asc,sun,8,0
asc,venus,8,1
asc,mercury,8,1
asc,moon,8,0
asc,asc,8,0
saturn,saturn,9,0
saturn,jupiter,9,0
saturn,mars,9,0
saturn,sun,9,0
saturn,venus,9,0
saturn,mercury,9,1
saturn,moon,9,0
saturn,asc,9,0
venus,saturn,9,1
venus,jupiter,9,1
venus,mars,9,1
venus,sun,9,0
venus,venus,9,1
venus,mercury,9,1
venus,moon,9,1
venus,asc,9,1
jupiter,saturn,9,0
jupiter,jupiter,9,0
jupiter,mars,9,0
jupiter,sun,9,1
jupiter,venus,9,1
jupiter,mercury,9,1
jupiter,moon,9,1
jupiter,asc,9,1
mercury,saturn,9,1
mercury,jupiter,9,0
mercury,mars,9,1
mercury,sun,9,1
mercury,venus,9,1
mercury,mercury,9,1
mercury,moon,9,0
mercury,asc,9,0
mars,saturn,9,1
mars,jupiter,9,0
mars,mars,9,0
mars,sun,9,0
mars,venus,9,0
mars,mercury,9,0
mars,moon,9,0
mars,asc,9,0
moon,saturn,9,0
moon,jupiter,9,0
moon,mars,9,0
moon,sun,9,0
moon,venus,9,1
moon,mercury,9,0
moon,moon,9,1
moon,asc,9,0
sun,saturn,9,1
sun,jupiter,9,1
sun,mars,9,1
sun,sun,9,1
sun,venus,9,0
sun,mercury,9,1
sun,moon,9,0
sun,asc,9,0
asc,saturn,9,0
asc,jupiter,9,1
asc,mars,9,0
asc,sun,9,0
asc,venus,9,1
asc,mercury,9,0
asc,moon,9,0
asc,asc,9,0
saturn,saturn,10,0
saturn,jupiter,10,0
saturn,mars,10,1
saturn,sun,10,1
saturn,venus,10,0
saturn,mercury,10,1
saturn,moon,10,0
saturn,asc,10,1
venus,saturn,10,1
venus,jupiter,10,1
venus,mars,10,0
venus,sun,10,0
venus,venus,10,1
venus,mercury,10,0
venus,moon,10,0
venus,asc,10,0
jupiter,saturn,10,0
jupiter,jupiter,10,1
jupiter,mars,10,1
jupiter,sun,10,1
jupiter,venus,10,1
jupiter,mercury,10,1
jupiter,moon,10,0
jupiter,asc,10,1
mercury,saturn,10,1
mercury,jupiter,10,0
mercury,mars,10,1
mercury,sun,10,0
mercury,venus,10,0
mercury,mercury,10,1
mercury,moon,10,1
